                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.0182,                0.53574,                 1.0791,                0.81063,                0.84325,                0.87996,                0.63893,                 1.1068,                0.53418,                 1.1466,              0.0079408,              0.0079408,              0.0079408
                    107,                 1.0129,                0.53467,                 1.0743,                0.86196,                0.80804,                0.87791,                 0.6349,                 1.1065,                0.53486,                  1.147,               0.007921,               0.007921,               0.007921
                    108,                 1.0165,                0.53418,                 1.0706,                0.86179,                0.79598,                0.87139,                0.63255,                 1.1061,                0.53431,                 1.1469,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.0114,                0.53334,                 1.0741,                0.86121,                0.79644,                0.87205,                0.63396,                 1.1064,                0.53422,                 1.1478,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.0148,                0.53381,                 1.0763,                0.85818,                0.79409,                0.87351,                0.63396,                 1.1062,                0.53397,                 1.1483,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.0111,                0.53026,                 1.0754,                0.85725,                 0.7977,                0.87298,                0.63369,                 1.1068,                0.53404,                 1.1492,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.0101,                0.53169,                 1.0734,                0.86181,                0.79316,                0.86651,                0.62959,                 1.1072,                0.53437,                 1.1499,               0.007822,               0.007822,               0.007822
                    113,                 1.0112,                0.52851,                 1.0735,                 0.8663,                0.78993,                 0.8658,                0.62917,                 1.1074,                0.53351,                 1.1499,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.0119,                0.52623,                 1.0787,                0.86906,                0.78708,                0.86373,                0.62788,                 1.1074,                0.53351,                 1.1499,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.0112,                0.52943,                 1.0686,                0.86405,                0.79024,                0.85928,                0.62625,                 1.1071,                0.53333,                 1.1497,              0.0077626,              0.0077626,              0.0077626
